game,combination,draw_date,jackpot_php,winners
4D Lotto,7-2-3-8,9/16/2016,42867.00,21
4D Lotto,6-0-9-2,9/19/2016,53359.00,17
4D Lotto,2-1-3-7,9/21/2016,19365.00,48
4D Lotto,1-9-7-2,9/23/2016,10000.00,233
4D Lotto,9-6-9-4,9/26/2016,104998.00,10
4D Lotto,3-1-2-6,9/28/2016,20118.00,26
4D Lotto,5-7-2-7,9/30/2016,20676.00,29
4D Lotto,2-4-7-9,10/3/2016,32540.00,30
4D Lotto,8-1-0-6,10/5/2016,25493.00,22
4D Lotto,4-2-0-1,10/7/2016,29349.00,27
4D Lotto,7-9-9-8,10/10/2016,99339.00,10
4D Lotto,7-9-3-1,10/12/2016,55413.00,13
4D Lotto,9-4-0-2,10/14/2016,111259.00,8
4D Lotto,8-7-6-3,10/17/2016,109027.00,8
4D Lotto,9-9-0-5,10/19/2016,114270.00,7
4D Lotto,6-8-7-1,10/21/2016,40683.00,23
4D Lotto,8-4-6-7,10/24/2016,33967.00,26
4D Lotto,2-0-6-9,10/26/2016,26523.00,31
4D Lotto,4-4-4-4,10/28/2016,10000.00,122
4D Lotto,9-2-4-7,10/31/2016,41812.00,18
4D Lotto,0-1-1-0,11/2/2016,10000.00,75
4D Lotto,3-1-4-9,11/4/2016,40372.00,22
4D Lotto,0-6-9-8,11/7/2016,77244.00,13
4D Lotto,0-5-5-9,11/9/2016,22321.00,36
4D Lotto,3-4-5-1,11/11/2016,49502.00,18
4D Lotto,8-0-6-9,11/14/2016,56638.00,17
4D Lotto,9-3-7-1,11/16/2016,70337.00,13
4D Lotto,0-4-3-8,11/18/2016,75664.00,12
4D Lotto,7-9-3-2,11/21/2016,74533.00,14
4D Lotto,3-4-7-8,11/23/2016,18092.00,49
4D Lotto,0-8-4-6,11/25/2016,39658.00,23
4D Lotto,1-5-8-8,11/28/2016,16796.00,44
4D Lotto,2-4-6-5,11/30/2016,29935.00,29
4D Lotto,4-9-2-4,12/2/2016,21724.00,29
4D Lotto,4-5-9-4,12/5/2016,72658.00,15
4D Lotto,7-5-3-4,12/7/2016,57494.00,17
4D Lotto,2-9-1-8,12/9/2016,13829.00,50
4D Lotto,6-0-9-7,12/12/2016,152293.00,7
4D Lotto,9-4-4-8,12/14/2016,25332.00,34
4D Lotto,5-6-1-0,12/16/2016,10000.00,53
4D Lotto,3-0-4-9,12/19/2016,57099.00,16
4D Lotto,8-8-5-6,12/21/2016,35724.00,25
4D Lotto,1-8-1-3,12/23/2016,24452.00,32
4D Lotto,7-7-2-5,12/26/2016,11007.00,25
4D Lotto,6-2-3-0,12/28/2016,10000.00,56
4D Lotto,4-5-4-7,12/30/2016,29630.00,32
4D Lotto,4-1-1-1,1/2/2017,10000.00,43
4D Lotto,1-5-6-9,1/4/2017,21937.00,46
4D Lotto,0-5-4-9,1/6/2017,82635.00,12
4D Lotto,8-5-4-6,1/9/2017,128662.00,7
4D Lotto,9-9-8-5,1/11/2017,92939.00,10
4D Lotto,6-0-8-8,1/13/2017,87784.00,10
4D Lotto,9-3-6-2,1/16/2017,100177.00,10
4D Lotto,7-6-1-5,1/18/2017,58172.00,11
4D Lotto,2-5-4-2,1/20/2017,28398.00,33
4D Lotto,0-6-0-1,1/23/2017,40073.00,20
4D Lotto,9-9-4-5,1/25/2017,42686.00,17
4D Lotto,6-6-9-1,1/27/2017,69638.00,15
4D Lotto,2-5-5-2,1/30/2017,10000.00,111
4D Lotto,8-6-9-2,2/1/2017,57985.00,17
4D Lotto,5-0-7-4,2/3/2017,34545.00,29
4D Lotto,6-6-2-3,2/6/2017,43004.00,17
4D Lotto,0-0-7-9,2/8/2017,67790.00,14
4D Lotto,2-9-8-4,2/10/2017,50101.00,20
